item_id,item_name,icon_file,icon_name,icon_author,source,license
itm_w001,녹슨 훈련용 검,itm_w001_rusty-sword.png,rusty-sword,delapouite,https://game-icons.net,CC BY 3.0
itm_w002,경비대 표준 장검,itm_w002_broadsword.png,broadsword,lorc,https://game-icons.net,CC BY 3.0
itm_w003,습지 순찰자의 검,itm_w003_piercing-sword.png,piercing-sword,lorc,https://game-icons.net,CC BY 3.0
itm_w004,붉은협곡 용병검,itm_w004_bloody-sword.png,bloody-sword,lorc,https://game-icons.net,CC BY 3.0
itm_w005,불티검 엠버,itm_w005_shining-sword.png,shining-sword,lorc,https://game-icons.net,CC BY 3.0
itm_w006,서리항구 선장의 검,itm_w006_striped-sword.png,striped-sword,lorc,https://game-icons.net,CC BY 3.0
itm_w007,공허를 베는 검,itm_w007_energy-sword.png,energy-sword,lorc,https://game-icons.net,CC BY 3.0
itm_w008,여명의 대검,itm_w008_two-handed-sword.png,two-handed-sword,delapouite,https://game-icons.net,CC BY 3.0
itm_w009,이빨 빠진 낡은 대검,itm_w009_shattered-sword.png,shattered-sword,lorc,https://game-icons.net,CC BY 3.0
itm_w010,파도무늬 세검,itm_w010_pointy-sword.png,pointy-sword,lorc,https://game-icons.net,CC BY 3.0
itm_w011,맹세의 세검,itm_w011_sword-brandish.png,sword-brandish,delapouite,https://game-icons.net,CC BY 3.0
itm_w012,부러진 영웅의 검,itm_w012_relic-blade.png,relic-blade,lorc,https://game-icons.net,CC BY 3.0
itm_w013,벌목꾼의 손도끼,itm_w013_wood-axe.png,wood-axe,lorc,https://game-icons.net,CC BY 3.0
itm_w014,쌍날 전투도끼,itm_w014_battle-axe.png,battle-axe,lorc,https://game-icons.net,CC BY 3.0
itm_w015,피에 굶주린 도끼,itm_w015_war-axe.png,war-axe,delapouite,https://game-icons.net,CC BY 3.0
itm_w016,서리 쪼개는 도끼,itm_w016_sharp-axe.png,sharp-axe,delapouite,https://game-icons.net,CC BY 3.0
itm_w017,처형인의 대부월,itm_w017_battered-axe.png,battered-axe,lorc,https://game-icons.net,CC BY 3.0
itm_w018,돌 박은 몽둥이,itm_w018_wood-club.png,wood-club,delapouite,https://game-icons.net,CC BY 3.0
itm_w019,성당 관리인의 철퇴,itm_w019_flanged-mace.png,flanged-mace,delapouite,https://game-icons.net,CC BY 3.0
itm_w020,천둥 울림 망치,itm_w020_thor-hammer.png,thor-hammer,delapouite,https://game-icons.net,CC BY 3.0
itm_w021,심판의 성추,itm_w021_warhammer.png,warhammer,delapouite,https://game-icons.net,CC BY 3.0
itm_w022,이끼 낀 곤봉,itm_w022_mace-head.png,mace-head,lorc,https://game-icons.net,CC BY 3.0
itm_w023,소매치기의 단검,itm_w023_plain-dagger.png,plain-dagger,lorc,https://game-icons.net,CC BY 3.0
itm_w024,독니 단검,itm_w024_bone-knife.png,bone-knife,delapouite,https://game-icons.net,CC BY 3.0
itm_w025,그림자 가르개,itm_w025_cloak-dagger.png,cloak-dagger,lorc,https://game-icons.net,CC BY 3.0
itm_w026,의례용 굽은 단검,itm_w026_sacrificial-dagger.png,sacrificial-dagger,lorc,https://game-icons.net,CC BY 3.0
